symbol,grade,entry_date,exit_date,percent_move
AAOI,B,2025-09-11,2025-11-10,-5.33
ABCL,A+,2025-10-02,2025-11-04,-18.56
ACMR,B+,2025-07-29,2025-08-01,-6.94
ADPT,A+,2025-06-26,2025-07-01,-7.98
ADPT,A,2025-11-24,2025-12-01,-7.92
AI,A+,2025-05-30,2025-06-02,-6.09
AI,C,2025-07-18,2025-07-24,-9.44
AMSC,A+,2025-08-01,2025-11-06,-32.0
ANAB,B,2025-06-04,2025-08-06,5.97
ANAB,B,2025-07-10,2025-08-06,-13.61
ANAB,A+,2025-10-01,2025-10-06,-5.38
ARLO,B+,2025-06-02,2025-09-25,16.94
ARLO,B,2025-10-27,2025-11-06,-11.86
AXTI,B,2025-09-22,2025-09-23,-6.61
BBIO,C,2025-11-25,2025-12-31,8.3
BEAM,B,2025-10-21,2025-10-22,-7.39
BFLY,A+,2025-09-19,2025-12-31,105.41
BFLY,B,2025-11-04,2025-11-06,-14.12
BLFS,B+,2025-10-16,2025-11-13,-9.34
CDNA,A,2025-11-06,2025-12-31,25.52
CDNA,B+,2025-12-15,2025-12-31,-5.37
CGEM,B,2025-11-24,2025-11-25,-8.82
CHRS,B+,2025-08-25,2025-11-07,14.53
CMPS,B+,2025-10-06,2025-11-13,-15.9
CNTA,A,2025-11-13,2025-12-19,-4.31
CRBU,B+,2025-09-30,2025-11-07,-10.3
CRDF,A,2025-10-09,2025-10-10,-7.14
CRDF,A+,2025-12-23,2025-12-31,-3.44
CYRX,A,2025-10-17,2025-10-30,-11.07
DNUT,A+,2025-07-23,2025-07-29,-12.5
EBS,B+,2025-10-08,2025-10-10,-8.29
EBS,A+,2025-10-31,2025-11-03,-15.95
EHTH,B+,2025-08-07,2025-08-08,-6.25
ELVN,B,2025-06-04,2025-06-06,-6.95
ENSC,B+,2025-09-30,2025-10-22,-11.39
ESTA,C,2025-06-27,2025-08-07,-12.14
ESTA,B,2025-10-15,2025-12-31,62.46
FRPT,A,2025-12-04,2025-12-31,-1.71
GRWG,A,2025-09-30,2025-10-02,-5.35
GRWG,B,2025-12-15,2025-12-19,-6.81
IONS,B,2025-06-25,2025-12-31,97.78
IONS,A,2025-07-03,2025-12-31,83.98
IONS,A+,2025-09-03,2025-12-31,30.78
KURA,A+,2025-08-18,2025-08-20,-5.75
KURA,B,2025-09-29,2025-12-18,9.81
LCTX,A,2025-09-19,2025-12-12,8.5
LGND,B+,2025-07-17,2025-12-10,33.77
LGND,A,2025-11-07,2025-12-10,-9.11
LIVN,B+,2025-11-13,2025-12-31,11.47
LMAT,B+,2025-08-07,2025-09-24,-6.85
MDGL,B+,2025-08-14,2025-12-31,56.81
MGNX,A+,2025-10-22,2025-10-23,-6.15
MNKD,A+,2025-08-28,2025-11-14,12.69
OPK,B,2025-09-19,2025-10-31,-6.21
PRAX,B+,2025-07-10,2025-08-11,-10.64
QDEL,B+,2025-09-12,2025-09-24,-6.58
SANA,A+,2025-07-09,2025-08-11,-27.9
SRRK,B,2025-09-29,2025-10-01,-9.59
STOK,B+,2025-06-04,2025-11-05,108.59
STOK,B+,2025-07-21,2025-11-05,85.38
STOK,C,2025-12-11,2025-12-31,-4.08
TARS,A,2025-10-06,2025-12-31,20.92
TXG,B+,2025-06-26,2025-09-23,6.75
TXG,A,2025-11-10,2025-11-14,-6.97
VCYT,A+,2025-11-06,2025-12-31,0.98
VCYT,B,2025-11-26,2025-12-31,-11.76
XERS,A+,2025-10-16,2025-11-06,-15.65
ARQT,B+,2025-09-30,2025-12-31,54.06
ARQT,A+,2025-10-29,2025-11-04,-5.06
BNGO,A,2025-09-11,2025-09-15,-31.77
DAWN,B,2025-10-06,2025-10-29,-3.56
DAWN,C,2025-11-11,2025-11-13,-14.58
ESPR,B,2025-07-24,2025-07-30,-5.37
ESPR,A+,2025-10-06,2025-10-08,-17.63
GALT,A+,2025-08-11,2025-08-13,-5.41
KOD,A,2025-08-15,2025-08-19,-10.31
KRYS,B+,2025-12-08,2025-12-31,5.34
MCRB,A+,2025-06-26,2025-10-27,80.55
MCRB,A+,2025-07-01,2025-10-27,60.39
MCRB,A,2025-08-15,2025-10-27,2.88
MCRB,A+,2025-11-19,2025-11-20,-24.21
OCGN,A+,2025-09-16,2025-11-13,5.98
OPRX,B+,2025-06-04,2025-11-07,13.57
OPRX,B+,2025-09-30,2025-10-01,-7.41
TRVI,B+,2025-07-24,2025-07-30,-5.36
TRVI,B+,2025-11-28,2025-12-31,-5.08
TXMD,A,2025-11-17,2025-12-31,7.24
VKTX,B,2025-10-31,2025-11-03,-5.46
VYGR,B+,2025-09-08,2025-09-09,-5.87
XBIT,A,2025-11-12,2025-11-17,-10.83
XNCR,A,2025-09-18,2025-12-31,52.64
ZYME,B+,2025-09-12,2025-12-31,67.28
ZYME,B+,2025-10-13,2025-12-31,45.39
ZVRA,B+,2025-10-16,2025-10-17,-5.05
CRNX,A+,2025-09-29,2025-10-03,-6.09
GOSS,B,2025-06-23,2025-06-26,-5.11
IMAB,B+,2025-08-07,2025-11-05,21.37
IMCR,A,2025-05-30,2025-07-31,-10.46
IMCR,B,2025-09-08,2025-09-16,-7.74
IMTX,B+,2025-12-05,2025-12-31,3.14
LQDA,B,2025-11-19,2025-12-31,16.36
NKTX,B,2025-07-24,2025-09-12,-7.94
NKTX,B+,2025-10-10,2025-10-29,-3.24
NVCR,B,2025-10-02,2025-11-03,-12.95
PRQR,A,2025-06-26,2025-06-27,-5.56
TGTX,B,2025-09-23,2025-11-07,-9.36
SOFI,B+,2025-10-29,2025-10-30,-6.05
PLTR,A,2025-08-06,2025-11-13,-4.12
U,A,2025-05-29,2025-10-07,53.13
U,B+,2025-07-09,2025-10-07,24.02
U,A+,2025-07-17,2025-07-22,-6.27
PATH,B+,2025-09-23,2025-11-20,1.6
PATH,B,2025-10-09,2025-10-10,-7.89
MDB,A+,2025-08-28,2025-12-31,31.94
SNOW,B,2025-06-25,2025-08-08,-13.45
NET,B,2025-08-01,2025-11-13,6.71
NET,A,2025-11-03,2025-11-04,-6.13
CRWD,B+,2025-06-04,2025-07-31,-1.3
CRWD,A+,2025-09-19,2025-09-24,-5.22
SHOP,A+,2025-08-07,2025-11-13,-3.13
COIN,B,2025-10-03,2025-10-22,-15.71
LCID,A+,2025-07-18,2025-07-21,-7.24
RIVN,B,2025-11-11,2025-11-13,-9.05
QS,A+,2025-09-19,2025-09-24,-6.93
CHPT,A+,2025-06-05,2025-07-11,-2.36
BLNK,A,2025-09-22,2025-09-25,-5.56
SEDG,B+,2025-11-11,2025-11-13,-18.52
FSLR,B+,2025-08-18,2025-08-20,-5.88
FSLR,B,2025-10-16,2025-10-22,-6.07
FSLR,B+,2025-11-03,2025-12-31,-1.69
FSLR,C,2025-12-23,2025-12-31,-3.03
PLUG,A+,2025-07-10,2025-07-14,-6.55
PLUG,A+,2025-09-18,2025-11-14,7.14
FCEL,A+,2025-06-09,2025-06-10,-10.04
FCEL,A,2025-09-11,2025-11-17,1.86
BE,A+,2025-07-10,2025-12-12,267.43
BB,B+,2025-06-26,2025-07-01,-8.05
NOK,B,2025-09-18,2025-12-31,35.92
MARA,B+,2025-09-17,2025-09-25,-7.32
RIOT,B,2025-09-10,2025-11-11,-1.59
HUT,B+,2025-07-03,2025-11-13,64.47
IONQ,A+,2025-09-15,2025-11-04,-9.69
SOUN,A,2025-07-09,2025-07-11,-10.31
